run,simSeconds,simInsts,numCycles,ipc,cpi,l1d_miss_rate,freq_GHz,cache_cfg,power_est_norm,energy_est_norm,epi_est_norm,edp_est_norm
P3_compute_1GHz_base,0.033472,10000000,33471955,0.298758,3.3472,0.000244,1,base,1,0.033472,3.3472e-09,0.00112037
P3_compute_500MHz_base,0.066845,10000000,33422447,0.2992,3.34224,0.000244,0.5,base,0.5,0.0334225,3.34225e-09,0.00223413
P3_memory_1GHz_L1D32k,0.087873,10000000,87872695,0.113801,8.78727,0.271141,1,L1D32k,0.95,0.0834794,8.34794e-09,0.00733558
P3_memory_1GHz_base,0.087791,10000000,87791169,0.113907,8.77912,0.271103,1,base,1,0.087791,8.7791e-09,0.00770726
P3_memory_500MHz_L1D32k,0.135167,10000000,67583667,0.147965,6.75837,0.271141,0.5,L1D32k,0.475,0.0642043,6.42043e-09,0.00867831
P3_memory_500MHz_base,0.135159,10000000,67579455,0.147974,6.75795,0.271103,0.5,base,0.5,0.0675795,6.75795e-09,0.00913398
P3_threads_1GHz_L1D32k,0.007343,1793401,7342999,0.244233,4.09445,0.024574,1,L1D32k,0.95,0.00697585,3.88973e-09,5.12237e-05
P3_threads_1GHz_base,0.00716,1793401,7159524,0.250492,3.99215,0.02062,1,base,1,0.00716,3.99241e-09,5.12656e-05
P3_threads_500MHz_L1D32k,0.013717,1793401,6858631,0.261481,3.82437,0.024574,0.5,L1D32k,0.475,0.00651558,3.63308e-09,8.93741e-05
P3_threads_500MHz_base,0.013505,1793401,6752346,0.265597,3.76511,0.02062,0.5,base,0.5,0.0067525,3.76519e-09,9.11925e-05
