run,simSeconds,simInsts,numCycles,ipc,l1d_miss_rate
P3_compute_1GHz_base,0.033472,10000000,33471955,0.298758,0.000244
P3_compute_500MHz_base,0.066845,10000000,33422447,0.299200,0.000244
P3_memory_1GHz_L1D32k,0.087873,10000000,87872695,0.113801,0.271141
P3_memory_1GHz_base,0.087791,10000000,87791169,0.113907,0.271103
P3_memory_500MHz_L1D32k,0.135167,10000000,67583667,0.147965,0.271141
P3_memory_500MHz_base,0.135159,10000000,67579455,0.147974,0.271103
P3_threads_1GHz_L1D32k,0.007343,1793401,7342999,0.244233,0.024574
P3_threads_1GHz_base,0.007160,1793401,7159524,0.250492,0.020620
P3_threads_500MHz_L1D32k,0.013717,1793401,6858631,0.261481,0.024574
P3_threads_500MHz_base,0.013505,1793401,6752346,0.265597,0.020620
